ITComponentId,__v,_id,anomalyTimestamp,metric,feedback,infrastructure,issue,rootCauseAnomalyTimestamp,rootCauseAnomalyType,rootCauseFeedback,rootCauseSignificant,significant,updatedAt,count_affectedITComponentIds,count_anomalies,count_correlatedITComponentIds,count_masterTopologyComponents,duration,issue_id,is_positive_feedback,component_type,metric_no_subject,absolute_delta,scaled_absolute_delta
nodesensinglabs-mqtt_sensinglabs-mqtt,0,61b0b4459180fc161a87a386,1638963290000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b098aaaf0b5f65d1de0474,,,,,False,2021-12-08T13:33:59.435Z,1,2,4,6192,0.0,61b098aaaf0b5f65d1de0474,False,service,docker#memory#rss#total,8414.591274319779,0.005543629075354817
nodesensinglabs-mqtt_sensinglabs-mqtt,0,61b0b45a9180fc161a87a60f,1638901910000,docker#memory#usage#pct-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61afa8eaaf0b5f1fcfde045c,,,,,False,2021-12-08T13:34:19.888Z,1,4,4,6192,240.0,61afa8eaaf0b5f1fcfde045c,False,service,docker#memory#usage#pct,0.0,0.0
linux60fec22cda00c500125f4311,0,61b0d4709180fc161a8ad8fd,1638975290000,system#diskio#iostat#busy-sda,Critical (it harms our infrastructure/business),6040a96cdcc614001153fc55,61b0c7a3af0b5f2514de0487,1638975270000.0,docker#cpu#kernel#pct-no_subject,,True,True,2021-12-08T15:51:20.471Z,5,26,30,6171,250.0,61b0c7a3af0b5f2514de0487,True,host,system#diskio#iostat#busy,0.0,0.0
apachegaia_scripts,0,61af5de19180fc161a67d8d2,1638881630000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61af59b0af0b5f78aade0436,1638881630000.0,docker#memory#rss#total-no_subject,,False,False,2021-12-07T13:13:09.426Z,1,1,4,6248,0.0,61af59b0af0b5f78aade0436,False,service,docker#memory#rss#total,79225.74222222221,0.130185129155989
nodesensinglabs-mqtt_sensinglabs-mqtt,0,61af5eaa9180fc161a67ed0c,1638881210000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61af581daf0b5f111dde042e,,,,,False,2021-12-07T13:16:27.855Z,1,2,4,6248,0.0,61af581daf0b5f111dde042e,False,service,docker#memory#rss#total,5130.411991061662,0.008430382965758513
nodesensinglabs-mqtt_sensinglabs-mqtt,0,61b0b4459180fc161a87a386,1638963290000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b098aaaf0b5f65d1de0474,,,,,False,2021-12-08T13:33:59.435Z,1,2,4,6192,0.0,61b098aaaf0b5f65d1de0474,False,service,docker#memory#rss#total,8414.591274319779,0.013827003965068717
docker2838c0afcc7620ff,0,61bb2e9f9180fc161a7f8615,1639018850000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b171bcaf0b5f0ad5de0537,,,,,False,2021-12-16T12:18:41.371Z,1,2,4,6211,0.0,61b171bcaf0b5f0ad5de0537,False,service,docker#memory#rss#total,608562.1509603697,1.0
consul_consul-server,0,61bb2eb39180fc161a7f8805,1639356040000,docker#diskio#summary#service_time-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b69a01af0b5fbaedde09f7,,,,,False,2021-12-16T12:19:02.089Z,1,9,4,6209,750.0,61b69a01af0b5fbaedde09f7,False,service,docker#diskio#summary#service_time,641142657324.0898,0.9999999999999999
packetaipacketai_packetai-agent,0,61bb2f109180fc161a7f92ed,1639356790000,docker#diskio#summary#service_time-no_subject,Info (good to know about),6040a96cdcc614001153fc55,61b69a16af0b5f630ade0a1b,,,,,True,2021-12-16T12:20:35.459Z,1,5,4,6167,0.0,61b69a16af0b5f630ade0a1b,True,service,docker#diskio#summary#service_time,3656649085.16967,0.0
mysql_router,0,61bb2f389180fc161a7f96c8,1639356790000,docker#memory#usage#pct-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b69a18af0b5f0ee3de0a27,,,,,False,2021-12-16T12:21:13.645Z,1,5,4,6167,0.0,61b69a18af0b5f0ee3de0a27,False,service,docker#memory#usage#pct,0.0001227965801125,0.011924058212283642
rabbitmqqueue_rabbitmq,0,61bb2f919180fc161a7fa00c,1639356850000,rabbitmq#exchange#messages#publish_out#count-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61b69a1baf0b5fa315de0a35,,,,,False,2021-12-16T12:22:43.940Z,1,4,4,6167,0.0,61b69a1baf0b5fa315de0a35,False,service,rabbitmq#exchange#messages#publish_out#count,0.0,0.0
