EventTemplate,Occurrences
closing AMQP connection <*> (10.0.11.208:59664 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,19
accepting AMQP connection <*> (10.0.11.208:59840 -> 10.0.11.23:5672) ,13
<*> <*> (10.0.11.208:59840 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,13
closing AMQP connection <*> (10.0.11.208:59840 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,13
accepting AMQP connection <*> (10.0.11.208:59856 -> 10.0.11.23:5672) ,12
<*> <*> (10.0.11.208:59856 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,12
closing AMQP connection <*> (10.0.11.208:59856 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,12
accepting AMQP connection <*> (10.0.11.208:59910 -> 10.0.11.23:5672) ,14
<*> <*> (10.0.11.208:59910 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,14
closing AMQP connection <*> (10.0.11.197:46950 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,9
accepting AMQP connection <*> (10.0.11.197:47018 -> 10.0.11.23:5672) ,14
<*> <*> (10.0.11.197:47018 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,14
closing AMQP connection <*> (10.0.11.208:59910 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,14
accepting AMQP connection <*> (10.0.11.208:59926 -> 10.0.11.23:5672) ,21
<*> <*> (10.0.11.208:59926 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,21
closing AMQP connection <*> (10.0.11.208:59926 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,21
accepting AMQP connection <*> (10.0.11.208:59946 -> 10.0.11.23:5672) ,9
<*> <*> (10.0.11.208:59946 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,9
closing AMQP connection <*> (10.0.11.197:47018 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,14
accepting AMQP connection <*> (10.0.11.197:47078 -> 10.0.11.23:5672) ,15
<*> <*> (10.0.11.197:47078 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,15
closing AMQP connection <*> (10.0.11.208:59946 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,9
accepting AMQP connection <*> (10.0.11.208:60058 -> 10.0.11.23:5672) ,13
<*> <*> (10.0.11.208:60058 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,13
