startDate,componentID,suggested label,duration,metric,SIRE_metrics,Comment,cpu_min_norm_pct,cpu_max_norm_pct,memory_min_pct,memory_max_pct,disk_time_min_s,disk_time_max_s,count_anomalies,count_affectedITComponentIds,start,issue_id,cluster,description,count_anomaly_regions,max_relevance_score,avg_relevance_score
"February 15, 2022 2:11 PM (GMT)",rubylogs_fluentd,info,460,docker#memory#usage#pct-no_subject,docker#cpu#kernel#norm#pct,"docker cpu kernel norm pct: 0.00075, docker cpu kernel pct: 0.003, docker network out bytes: 240. We have warning anomalies in logs but regarding metric data - info level",0.00009,0.0009,,,,,34,12,1644934280000,620bb5c747b6b6a7ffdc487c,1,"high affected components rate, high anomaly rate, long duration",1,0.75,0.75
"February 16, 2022 12:01 PM (GMT)",nodesite-service_site-service,info,420,docker#memory#usage#pct-no_subject,,nodesite-service_site-service: 3Mb but docker memory usage pct: 0.3 → 0.31 (1% increase),,,0.3,0.31,,,5,2,1645012880000,620ce90147b6b6757bdc5f9f,2,"medium affected components rate, medium anomaly rate, medium duration",0,0,0
"January 30, 2022 6:20 AM (GMT)",apachegaia_worker,info,200,docker#memory#usage#pct-no_subject,,Low memory pct usage: docker memory usage pct: 0.004,,,0.004,0.0045,,,4,1,1643523600000,61f62ebab4c42618f3ad1574,2,"medium affected components rate, medium anomaly rate, medium duration",0,0,0
"February 15, 2022 5:46 AM (GMT)",nodedisplay_front,info,180,docker#memory#usage#pct-no_subject,docker#memory#usage#pct,docker memory usage pct: 0.11 → 0.09,,,0.09,0.11,,,4,1,1644903980000,620b3e7647b6b6d712dc404d,2,"medium affected components rate, medium anomaly rate, medium duration",1,0.78,0.78
"February 13, 2022 9:35 PM (GMT)",apachegaia_worker,info,180,docker#memory#usage#pct-no_subject,docker#memory#usage#total,"Low memory usage docker memory usage pct: 0.0042, docker memory usage total: 175104",0.0042,0.0045,,,,,4,1,1644788120000,620979e747b6b623badc2834,2,"medium affected components rate, medium anomaly rate, medium duration",1,0.77,0.77
"February 8, 2022 5:38 PM (GMT)",rediskoios_redis_cache,info,120,docker#memory#usage#pct-no_subject,docker#memory#usage#pct,docker memory usage pct: 0.02 → 0.01,,,0.01,0.02,,,4,1,1644341900000,6202aaf5b4c426ee65ad6f43,2,"medium affected components rate, medium anomaly rate, medium duration",1,0.75,0.75
"February 14, 2022 1:36 AM (GMT)",docker284906e19275b376,info,120,docker#memory#usage#pct-no_subject,,docker memory usage pct: 0.156 but insignificant drop 0.002% (from  0.157 to 0.155),,,0.155,0.157,,,3,1,1644802580000,6209b25d47b6b6d0dddc2ae2,2,"medium affected components rate, medium anomaly rate, medium duration",0,0,0
"January 30, 2022 9:19 AM (GMT)",nodesensinglabs-mqtt_sensinglabs-mqtt,info,100,docker#memory#usage#pct-no_subject,,"docker memory usage pct: 0.12 → 0.11, docker network in bytes: 24",,,0.11,0.12,,,3,2,1643534360000,61f65873b4c4263f4fad15fb,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 15, 2022 9:16 AM (GMT)",docker0c378919b6794abe,info,90,docker#memory#usage#pct-no_subject,,docker memory usage pct: 0.14 → 0.19,,,0.14,0.19,,,2,2,1644916580000,620b6fb347b6b6dceadc4346,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 2, 2022 10:36 AM (GMT)",nodezoho_zoho-service,info,60,docker#memory#usage#pct-no_subject,docker#memory#usage#pct,docker memory usage pct: 0.006 → 0.005,,,0.005,0.006,,,2,1,1643798180000,61fa5ef4b4c426e37aad20f2,0,"low affected components rate, low anomaly rate, short duration",1,0.79,0.79
"February 3, 2022 9:00 AM (GMT)",nodecollector-api_collector-api,info,60,docker#memory#usage#pct-no_subject,docker#cpu#user#pct,"docker cpu user norm pct: 0.01 → 0.14, docker memory usage pct: 0.25 → 0.28, docker cpu total norm pct: 0 → 0.15",0.01,0.15,0.25,0.28,,,9,1,1643878820000,61fb9a37b4c4265242ad2696,0,"low affected components rate, low anomaly rate, short duration",1,0.71,0.71
"January 30, 2022 8:10 AM (GMT)",apachegaia_scripts,info,30,docker#memory#usage#pct-no_subject,,,,,,,,,2,2,1643530230000,61f64854b4c4266417ad158f,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"January 30, 2022 5:35 AM (GMT)",consul_consul-server,info,0,docker#memory#usage#pct-no_subject,"docker#diskio#read#service_time, docker#diskio#read#wait_time, docker#diskio#summary#wait_time, docker#diskio#write#wait_time",docker memory usage pct: 0.004 → 0.005,,,0.004,0.005,,,1,1,1643520920000,61f623f2b4c42680c0ad14cd,0,"low affected components rate, low anomaly rate, short duration",4,0.8,0.79
"February 2, 2022 11:21 AM (GMT)",apachegaia_scripts,info,0,docker#memory#usage#pct-no_subject,"docker#cpu#kernel#norm#pct, docker#cpu#kernel#pct, docker#cpu#total#norm#pct, docker#cpu#total#pct",docker memory usage pct: 0.004 → 0.006,,,0.004,0.005,,,1,1,1643800890000,61fa699eb4c4269671ad2119,0,"low affected components rate, low anomaly rate, short duration",4,0.79,0.76
"February 8, 2022 7:51 PM (GMT)",dockerf6573bb0c5ec947a,info,0,docker#memory#usage#pct-no_subject,,,,,,,,,1,1,1644349880000,6202ca15b4c4267dbcad71f6,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 15, 2022 12:25 PM (GMT)",dockerf6573bb0c5ec947a,info,0,docker#memory#usage#pct-no_subject,,,,,,,,,2,1,1644927920000,620b9c0947b6b652aedc4636,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 1, 2022 11:46 AM (GMT)",nodealerts_alerts-service,info,0,docker#memory#usage#pct-no_subject,,,,,,,,,1,1,1643715980000,61f91dd7b4c426ecefad17a9,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 16, 2022 9:29 AM (GMT)",docker0d65f55d58158080,info,0,docker#memory#usage#pct-no_subject,,,,,,,,,1,1,1645003760000,620cc43447b6b660d1dc5c7c,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"January 31, 2022 9:29 AM (GMT)",nginxappsmith_appsmith-nginx,info,0,docker#memory#usage#pct-no_subject,,,,,,,,,1,1,1643621380000,61f7ac6cb4c4262182ad16a6,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 12, 2022 12:33 PM (GMT)",dockerf6573bb0c5ec947a,info,0,docker#memory#usage#pct-no_subject,,,,,,,,,1,1,1644669200000,6207a95f47b6b61c35dc1305,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"January 28, 2022 3:50 PM (GMT)",nodesensor-service_sensor-service,info,0,docker#memory#usage#pct-no_subject,,,,,,,,,1,1,1643385020000,61f4111bb4c4262acfad149c,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"February 2, 2022 2:19 PM (GMT)",docker3a2cf72a0bb55026,info,0,docker#memory#usage#pct-no_subject,,,,,,,,,1,1,1643811590000,61fa9351b4c426975fad2202,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"January 10, 2022 2:00 PM (GMT)",nodewebapi_webapi-server,info,0,docker#memory#usage#total,docker#memory#usage#pct,docker memory usage pct: 0.13 → 0.8,,,0.07,0.13,,,1,1,1641823230000,61dc3c53f2b9169566d0e70d,0,"low affected components rate, low anomaly rate, short duration",1,0.73,0.73
"February 16, 2022 11:15 AM (GMT)",redisweblate_cache,info,310,docker#memory#usage#total-no_subject,,docker memory usage total: 16000 . We have correlated network anomalies but they vary in 7555 bytes max,,,0.002,0.003,,,14,10,1645010120000,620cdda347b6b65773dc5e8a,1,"high affected components rate, high anomaly rate, long duration",0,0,0
"February 15, 2022 2:04 PM (GMT)",portainer_agent,info,300,docker#memory#usage#total-no_subject,,docker memory usage pct: 0.0024,,,0.0021,0.0024,,,43,11,1644933860000,620bb38647b6b60569dc47f8,1,"high affected components rate, high anomaly rate, long duration",0,0,0
